X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement
546,Sun Mar 05 17:44:00 +00:00 2023,usa class action merck gardasil vaccino hpvlazione legale raccogliendo adesioni vittime dannidavaccino stati usa gardasil responsabile sviluppo disturbi autoimmuni eo neurologiciexposenewscomhmerck,3,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"#USA,",#HPV,#DanniDaVaccino,#Gardasil,#Merck,,,,,,,,,,,,,,,,,,,,1632436936496250880,https://expose-news.com/2023/03/03/hpv-vax-causes-auto-immune-neurologic-disorders/,,,,https://twitter.com/LiberaInformaz/status/1632436936496250880,False,cf6c6ed7,it,7
552,Sun Mar 05 17:25:00 +00:00 2023,gardasil papillomavirus vaccinesideeffects sante france campagne vaccination,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#Papillomavirus,#VaccineSideEffects,#Sante,#France,#campagne,#vaccination,,,,,,,,,,,,,,,,,,1632432239010086656,,,,,https://twitter.com/CSursum/status/1632432239010086913,False,f3190bd3,it,0
555,Wed Mar 01 22:12:00 +00:00 2023,papillomavirus vaccin vaccination effetssecondaires gardasil,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Papillomavirus,#Vaccin,#vaccination,#effetssecondaires,#Gardasil,,,,,,,,,,,,,,,,,,,,1631054783858593536,,,,,https://twitter.com/eric_diss/status/1631054783858593795,False,88d5f9cc,it,2
684,Fri Mar 03 18:29:00 +00:00 2023,gardasilscandale,0,a7587ab3,,,,,,,,,,,,,,,,0,0,0,ed522992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#Scandale,,,,,,,,,,,,,,,,,,,,,,,1631723500611280640,,,,,https://twitter.com/JaneOfArc6/status/1631723500611280917,False,7086e2aa,it,0
724,Fri Mar 03 16:35:00 +00:00 2023,gardasil vaccination,2,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,#vaccination,,,,,,,,,,,,,,,,,,,,,,,1631694853322035200,,,,,https://twitter.com/DLFParis16/status/1631694853322035200,False,12ba55ec,it,4
764,Mon Feb 27 09:57:00 +00:00 2023,gardasil,1,a7587ab3,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1630145019087663360,,,,,https://twitter.com/JaneOfArc6/status/1630145019087663105,False,7086e2aa,it,1
771,Thu Jul 13 08:03:00 +00:00 2023,tèmoignage gardasil poizon,7,,,,,,,,,,,,,,,,,0,0,0,e0cdc9b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1679401183696535552,,,,,https://twitter.com/Hell3June/status/1679401183696535552,False,f0dad914,it,10
775,Thu Jul 13 08:02:00 +00:00 2023,gardasil gardasil poizon,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1679400941647265536,,,,,https://twitter.com/Hell3June/status/1679400941647265793,False,f0dad914,it,0
797,Fri Mar 03 13:53:00 +00:00 2023,vaccin gardasil marieocèane raconte son calvaire elle ellefrsocietenewsvaccin via,1,3bd07bd0,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Vaccin,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1631654064802119680,https://www.elle.fr/Societe/News/Vaccin-Gardasil-Marie-Oceane-raconte-son-calvaire-2624114,,,,https://twitter.com/Frugheon_D/status/1631654064802119683,False,0fcef7f0,it,1
802,Fri Mar 03 13:17:00 +00:00 2023,esaurita spinta propulsiva covid novax tornano sparare mucchio vaccini caso compreso gardasil papillomaimparata lezioncina grafene vedono ovunque strumenti inadeguati bufalenetgrafenenelgarda,5,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#COVID19,#novax,#vaccini,#Gardasil,#papilloma.,#grafene,,,,,,,,,,,,,,,,,,,1631644850004057856,https://www.bufale.net/grafene-nel-gardasil-contro-il-papilloma-novax-tornano-alle-basi/,,,,https://twitter.com/Bufalenet/status/1631644850004058116,True,fc282561,it,5
