X;created_at;full_text;likes_count;mentioning_users.0;mentioning_users.1;mentioning_users.2;mentioning_users.3;mentioning_users.4;mentioning_users.5;mentioning_users.6;mentioning_users.7;mentioning_users.8;mentioning_users.9;mentioning_users.10;mentioning_users.11;mentioning_users.12;mentioning_users.13;mentioning_users.14;mentioning_users.15;played_count;quotes_count;replies_count;replying_to.0;replying_to.1;replying_to.2;replying_to.3;replying_to.4;replying_to.5;replying_to.6;replying_to.7;replying_to.8;replying_to.9;replying_to.10;replying_to.11;replying_to.12;replying_to.13;replying_to.14;replying_to.15;replying_to.16;replying_to.17;replying_to.18;replying_to.19;replying_to.20;replying_to.21;replying_to.22;replying_to.23;replying_to.24;replying_to.25;replying_to.26;replying_to.27;replying_to.28;replying_to.29;replying_to.30;replying_to.31;replying_to.32;replying_to.33;replying_to.34;replying_to.35;replying_to.36;replying_to.37;replying_to.38;replying_to.39;replying_to.40;replying_to.41;replying_to.42;replying_to.43;replying_to.44;replying_to.45;replying_to.46;replying_to.47;retweeted_by;retweets_count;tweet_hashtags.0;tweet_hashtags.1;tweet_hashtags.2;tweet_hashtags.3;tweet_hashtags.4;tweet_hashtags.5;tweet_hashtags.6;tweet_hashtags.7;tweet_hashtags.8;tweet_hashtags.9;tweet_hashtags.10;tweet_hashtags.11;tweet_hashtags.12;tweet_hashtags.13;tweet_hashtags.14;tweet_hashtags.15;tweet_hashtags.16;tweet_hashtags.17;tweet_hashtags.18;tweet_hashtags.19;tweet_hashtags.20;tweet_hashtags.21;tweet_hashtags.22;tweet_hashtags.23;tweet_id;tweet_links.0;tweet_links.1;tweet_links.2;tweet_links.3;;user_is_verified;user_name;language;engagement;sentiment_scores;positive;neutral;negative;compound;sentiment_label
84;Tue Jul 11 17:55:00 +00:00 2023;rumblecomvfbkewjonathan jonathan irwin founder jackjill foundation jonathan irwin explains gardasil hpv vaccine injured daughter hse ireland done nothing helpvaxxedireland;0;ee72a09a;376bd7d5;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;#VaxxedIreland;;;;;;;;;;;;;;;;;;;;;;;1.6788253509255452e+18;https://rumble.com/v2fbkew--jonathan-irwin-in-ireland-gardasil-.html;;;;;FALSE;856b07b6;en;0;{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019};0.0;0.87;0.13;-0.4019;Negative
87;Wed May 10 16:04:00 +00:00 2023;cancer merck state gardasil contains viral dna tested positive hpv dna foundsane vax fda recombinant hpv dna found multiple sample gardasil sanevaxorgsanevaxtofda;0;;;;;;;;;;;;;;;;;0;0;0;24596538;4924cffb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6563293333494538e+18;https://sanevax.org/sane-vax-to-fda-recombinant-hpv-dna-found-in-multiple-samples-of-gardasil/;;;;;FALSE;60848c1f;en;0;{'neg': 0.157, 'neu': 0.714, 'pos': 0.129, 'compound': -0.2023};129;714;157;-0.2023;Negative
91;Thu May 18 18:25:00 +00:00 2023;data gardasil available educate;2;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6592640107037614e+18;;;;;;FALSE;b6409b6a;en;3;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
97;Tue Jul 25 01:59:00 +00:00 2023;antivax stance gardasil daughter may become promiscuous unlike joyce australian christian lobby conference best protection girl get secure relationship loving husband newscomaulifestylerelati;0;;;;;;;;;;;;;;;;;0;0;0;f75dc56d;d57e9c0e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#Gardasil;#Joyce:;;;;;;;;;;;;;;;;;;;;;;;1.6836582236166597e+18;https://www.news.com.au/lifestyle/relationships/marriage/the-comments-coming-back-to-haunt-barnaby-joyce/news-story/816edfc4ceb042435f80267ebd64cd8e;;;;;FALSE;5c600771;en;1;{'neg': 0.043, 'neu': 0.569, 'pos': 0.388, 'compound': 0.8834};388;569;43;0.8834;Positive
99;Tue Apr 18 19:58:00 +00:00 2023;diagnosed pot premature ovarian failure side effect receiving gardasil hpv vaccine may able pursue compensation filing legal claim gardasil hpv hpvvaccine hpvawareness gardasilreaction wisnerbaumcomblogapr;1;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#Gardasil;#HPV;#hpvvaccine;#hpvawareness;#gardasilreaction;;;;;;;;;;;;;;;;;;;;1.648415813421142e+18;https://www.wisnerbaum.com/blog/2023/april/how-to-file-an-hpv-vaccine-lawsuit/;;;;;FALSE;35be2b85;en;3;{'neg': 0.123, 'neu': 0.821, 'pos': 0.056, 'compound': -0.4215};56;821;123;-0.4215;Negative
104;Wed Jun 07 15:55:00 +00:00 2023;thank truthful discussion hpv gardasil openspotifycomepisodex;4;22a00727;;;;;;;;;;;;;;;;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;#hpv;#gardasil;;;;;;;;;;;;;;;;;;;;;;;1.66647398797765e+18;https://open.spotify.com/episode/74xE0njNcLa1OYrr7jTmbq?si=XE_FoYJ4S6SAWBQOOJKMeA&context=spotify%3Ashow%3A0awxEJH88Xur0GHXuteBLw;;;;;TRUE;6c9ebe87;en;9;{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.6705};579;421;0.0;0.6705;Positive
105;Wed May 10 16:00:00 +00:00 2023;first horror story ive heard gardasil v read day child died receiving skip one dont promiscuousgardasil;0;72d7efa7;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.656328245623636e+18;;;;;;FALSE;c15447ba;en;0;{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.8074};0.0;0.64;0.36;-0.8074;Negative
108;Sun Jul 09 12:20:00 +00:00 2023;typical letter young woman injured gardasil injury like many manifold complex lifealtering lupus rheumatoid arthritis raynauds potsibs etc cervical cancer requiring hysterectomy age childrenshealthdefenseorgd;0;;;;;;;;;;;;;;;;;0;0;0;cd5448e4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil.;;;;;;;;;;;;;;;;;;;;;;;;1.6780161714198692e+18;https://childrenshealthdefense.org/defender/new-book-corruption-hpv-vaccines-injuries/;;;;;FALSE;0ccf6b6d;en;0;{'neg': 0.306, 'neu': 0.617, 'pos': 0.077, 'compound': -0.8126};77;617;306;-0.8126;Negative
113;Wed Aug 16 21:45:00 +00:00 2023;lawyer join u tomorrow gardasil hpv vaccine litigation update presenter tracy turner pendley baudin coffin andrew downing downing allison jorgenson bijan esfandiari stephanie sherman wisner baum;1;487b9cd6;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;#HPV;;;;;;;;;;;;;;;;;;;;;;;1.6919291652919913e+18;;;;;;FALSE;35be2b85;en;1;{'neg': 0.067, 'neu': 0.852, 'pos': 0.081, 'compound': 0.1027};81;852;67;0.1027;Positive
115;Tue Aug 08 20:40:00 +00:00 2023;reminder required virginia school abstinence condom cville uva gardasil;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Cville;#UVA;#gardasil;;;;;;;;;;;;;;;;;;;;;;1.6890138091663278e+18;;;;;;FALSE;5c884d2b;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
