X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement,sentiment_scores,positive,neutral,negative,compound,sentiment_label
280,Fri Feb 17 23:30:00 +00:00 2023,livechildrenshealthdefense,2,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#GardasilVaccine,#Vaccine,#Gardasil,#CHD,#Merck,#litigation,,,,,,,,,,,,,,,,,,,1.626725839722127e+18,https://live.childrenshealthdefense.org/chd-tv/shows/good-morning-chd/gardasil-vaccine-on-trial-with-mary-holland-jd/,,,,https://twitter.com/Wacaser/status/1626725839722127360,False,2d9e1a09,it,4,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0, 'compound': 1.0, 'sentiment_label': 'Positive'}",1.0,0.0,0.0,1.0,Positive
319,Mon Mar 13 10:16:00 +00:00 2023,poison,2,,,,,,,,,,,,,,,,,0,0,0,e5e7f4cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1.6352232873904128e+18,,,,,https://twitter.com/Hell3June/status/1635223287390412800,False,f0dad914,it,2,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
320,Fri Mar 17 07:40:00 +00:00 2023,poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1.6366335849109583e+18,,,,,https://twitter.com/Hell3June/status/1636633584910958595,False,f0dad914,it,1,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
341,Sat Mar 11 22:44:00 +00:00 2023,merci dr,1,930d0858,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6346867807579136e+18,,,,,https://twitter.com/JaneOfArc6/status/1634686780757913601,False,7086e2aa,it,1,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0, 'compound': 1.0, 'sentiment_label': 'Positive'}",1.0,0.0,0.0,1.0,Positive
351,Tue Dec 13 16:16:00 +00:00 2022,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPVvaccine,,,,,,,,,,,,,,,,,,,,,,,1.6026989002799063e+18,,,,,https://twitter.com/LotusGirlL/status/1602698900279906304,False,6519a4cb,it,0,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
382,Fri Dec 23 21:44:00 +00:00 2022,danni da vaccinogu importante ordinanza corte di appello di rom presdott alessandro nunziata relatore alessandra trementozzi per la volta italia riconosciuto diabete giovanile collegato vaccino antipapillomavirus eventiavversinewsitpronunc,7,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6064052980083343e+18,https://www.eventiavversinews.it/pronuncia-storica-riconosciuto-per-la-prima-volta-in-italia-dalla-corte-di-appello-di-roma-caso-di-diabete-giovanile-da-v-la-corte-costituzionale-si-esprimera-sullindennizzo-ordinanza-appena-pubb/,,,,https://twitter.com/BarbaraRaval/status/1606405298008334348,False,843cb078,it,13,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
384,Thu Mar 09 18:05:00 +00:00 2023,poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.63389180884856e+18,,,,,https://twitter.com/Hell3June/status/1633891808848560133,False,f0dad914,it,1,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
387,Sat Jan 28 10:16:00 +00:00 2023,vaccine cervical,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPV,#cancer,,,,,,,,,,,,,,,,,,,,,,1.619278303164248e+18,,,,,https://twitter.com/HateTheMachine/status/1619278303164248064,False,2db57c94,it,0,"{'positive': 0.5, 'neutral': 0.5, 'negative': 0, 'compound': 0.5, 'sentiment_label': 'Positive'}",0.5,0.5,0.0,0.5,Positive
388,Mon Feb 27 22:52:00 +00:00 2023,vaccin antihpv une dose suffit larevuedupraticienfrarticl via,1,6c67872d,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#vaccination,,,,,,,,,,,,,,,,,,,,,,,1.6303402138797425e+18,https://www.larevuedupraticien.fr/article/vaccin-anti-hpv-une-dose-suffit,,,,https://twitter.com/Maren31_Uhl/status/1630340213879742464,False,5c3a8cbb,it,1,"{'positive': 0.5, 'neutral': 0.5, 'negative': 0, 'compound': 0.5, 'sentiment_label': 'Positive'}",0.5,0.5,0.0,0.5,Positive
411,Sat Mar 11 16:23:00 +00:00 2023,poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#GARDASIL,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1.6345908337090314e+18,,,,,https://twitter.com/Hell3June/status/1634590833709031425,False,f0dad914,it,1,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
