,created_at,full_text,likes_count,mentioning_users/0,mentioning_users/1,mentioning_users/2,mentioning_users/3,mentioning_users/4,mentioning_users/5,mentioning_users/6,mentioning_users/7,mentioning_users/8,mentioning_users/9,mentioning_users/10,mentioning_users/11,mentioning_users/12,mentioning_users/13,mentioning_users/14,mentioning_users/15,played_count,quotes_count,replies_count,replying_to/0,replying_to/1,replying_to/2,replying_to/3,replying_to/4,replying_to/5,replying_to/6,replying_to/7,replying_to/8,replying_to/9,replying_to/10,replying_to/11,replying_to/12,replying_to/13,replying_to/14,replying_to/15,replying_to/16,replying_to/17,replying_to/18,replying_to/19,replying_to/20,replying_to/21,replying_to/22,replying_to/23,replying_to/24,replying_to/25,replying_to/26,replying_to/27,replying_to/28,replying_to/29,replying_to/30,replying_to/31,replying_to/32,replying_to/33,replying_to/34,replying_to/35,replying_to/36,replying_to/37,replying_to/38,replying_to/39,replying_to/40,replying_to/41,replying_to/42,replying_to/43,replying_to/44,replying_to/45,replying_to/46,replying_to/47,retweeted_by,retweets_count,tweet_hashtags/0,tweet_hashtags/1,tweet_hashtags/2,tweet_hashtags/3,tweet_hashtags/4,tweet_hashtags/5,tweet_hashtags/6,tweet_hashtags/7,tweet_hashtags/8,tweet_hashtags/9,tweet_hashtags/10,tweet_hashtags/11,tweet_hashtags/12,tweet_hashtags/13,tweet_hashtags/14,tweet_hashtags/15,tweet_hashtags/16,tweet_hashtags/17,tweet_hashtags/18,tweet_hashtags/19,tweet_hashtags/20,tweet_hashtags/21,tweet_hashtags/22,tweet_hashtags/23,tweet_id,tweet_links/0,tweet_links/1,tweet_links/2,tweet_links/3,url,user_is_verified,user_name,language
4082,Fri Aug 04 21:44:00 +00:00 2023,"??Ursula von der Leyen - European Commission "" Was investigated for corruption, fraud and money laundering for back door deals with Pfizer Now she wants #CBDC to track/control all your finances ""Digital ID + CBDC ? cashless economy  ? #Agenda2030 ? social credit system",429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,13,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,265,#CBDC,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,1687580190447403008,,,,,https://twitter.com/Resist_CBDC/status/1687580190447403008,true,3f86250d,en
4132,Tue Jan 24 23:48:00 +00:00 2023,"We read. Weíve been tweeting, warning & exposing the #NWO & now #WEF One World Order since 2015. It was all there in #Agenda2019, then #Agenda2020, then #Agenda2022, & now #Agenda2030. All the same players. They gave us the playbook. There was no guessing. You chose not to listen",6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,9e606bb5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,5,#NWO,#WEF,"#Agenda2019,","#Agenda2020,","#Agenda2022,",#Agenda2030.,,,,,,,,,,,,,,,,,,,1618033145043120128,,,,,https://twitter.com/RedRising11/status/1618033145043120128,true,f13fdbc2,en
4143,Thu Apr 06 22:34:00 +00:00 2023,"?? exactly"" To the global elite, we are like #Kulaks  They smear us ëracists, deplorables, white supremacists, anti-Vaxxer, science-deniersí 24/7 because we are In-The-Way of their Fascist Plan #SDGs  And, we Know what theyíre up to! ""#Agenda2030 #CBDC",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,c8cfbff0,aba12e4a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Kulaks,#SDGs,#Agenda2030,#CBDC,,,,,,,,,,,,,,,,,,,,,1644106354813198336,,,,,https://twitter.com/LadyRedHawk1111/status/1644106354813198336,true,eeba538f,en
4196,Sat Apr 08 22:59:00 +00:00 2023,"This is all part of the WEF/NWO goals for #agenda2030 please people wake-up before we are bound to 15 minute cities, lab grown foods and many more absurdities. Please support your local farmers and other natural agricultural projects/products. We need our farmers.",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1644837504829235200,,,,,https://twitter.com/laracroftonline/status/1644837504829235200,true,5a9882c8,en
4199,Sun Aug 20 22:07:00 +00:00 2023,It's not only about masks but tests and jabs. Do NOT do it. None of it ! Stand UP and reject their criminal plans. #WEF #Agenda2030 #NWO #WakeUp,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,65886be3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#WEF,#Agenda2030,#NWO,#WakeUp,,,,,,,,,,,,,,,,,,,,,1693384173371740650,,,,,https://twitter.com/Conservatist_2/status/1693384173371740650,true,43b22f95,en
4218,Fri Jan 20 23:44:00 +00:00 2023,"The @wef are nothing but Looney Left Extremists socialist filthy rich parasites who want control our lives under the guise of ìclimate change.î They donít let outsiders comment or respond to their tweets"" ""#WEF23 #WorldEconomicForum #Agenda2030 #ClimateChange #GlobalWarming",2,c6608cd4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,c6608cd4,ac75cd56,03546166,61c8ad1f,5b863648,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#WEF23,#WorldEconomicForum,#Agenda2030,#ClimateChange,#GlobalWarming,,,,,,,,,,,,,,,,,,,,1616582409582960642,,,,,https://twitter.com/jprince_cheryl/status/1616582409582960642,true,2579e9a6,en
4234,Thu Jul 27 22:15:00 +00:00 2023,"People better wise up! They are bragging about what they intend to do because no one is standing up against them. #Agenda2030 you better believe that those of us that are left, and they don't plan on there being many of us, will be scrambling to survive while they live in luxury! #RiseUp #Patriots #2a",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,1dfc6053,078b627a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,#RiseUp,#Patriots,#2a,,,,,,,,,,,,,,,,,,,,,1684688909408649216,,,,,https://twitter.com/RealistAmerica1/status/1684688909408649216,true,647f178d,en
4255,Wed Apr 12 23:03:00 +00:00 2023,"United Nations #Agenda2030 """"'Sustainable development'",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1646287958746738688,,,,,https://twitter.com/c_plushie/status/1646287958746738688,true,fcb0c623,en
4269,Tue Aug 08 21:19:00 +00:00 2023,"It is crucial to align the #SDG #Agenda2030 with the #Agenda2063 for the #AfricanUnion.†"" Watch @GopaulP, @mdjkitulu, Gopalkrishna A Tadas, @NityaMohanK, @AnnaK_Hornidge at the #T20Summit.  #G20India #Think20India† @g20org @orfonline ""piped.video/live/KPonvk67QjYÖ",0,c3bfaba8,a1855d53,80b3d26e,71266bf3,a3731705,9fc552a1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#SDG,#Agenda2030,#Agenda2063,#AfricanUnion.†,#T20Summit.,#G20India,#Think20India†,,,,,,,,,,,,,,,,,,1689023426990907392,https://piped.video/live/KPonvk67QjY?feature=share,,,,https://twitter.com/T20org/status/1689023426990907392,true,b48cebe7,en
4286,Sun Apr 16 22:24:00 +00:00 2023,"#Agenda2030 #Agenda21 #WEF #GREATRESET """"rumble.com/v2imtvc-beyond-thÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,#Agenda21,#WEF,#GREATRESET,,,,,,,,,,,,,,,,,,,,,1647727796829995008,https://rumble.com/v2imtvc-beyond-the-reset-animated-agenda-21.html,,,,https://twitter.com/tminewsnet/status/1647727796829995008,true,1d4f8d22,en
4293,Fri Aug 04 21:19:00 +00:00 2023,Both Sides should be condemned when this happens that's what the globalists want to turn us against each other and then install their #AGENDA2030 #WorldGovernment #NewWorldOrder,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,ed8bbff8,22b0299b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#AGENDA2030,#WorldGovernment,#NewWorldOrder,,,,,,,,,,,,,,,,,,,,,,1687574092998733825,,,,,https://twitter.com/constantin_t/status/1687574092998733825,true,96f90954,en
4308,Tue Aug 08 21:17:00 +00:00 2023,"L'Èquipe pays @OnuGuinee et ses partenaires en action pr le dÈveloppement durable. PrÈsentation du nveau Cadre de CoopÈration de DÈveloppement Durable du SNU #UNSDCF avec @GualbertGbehou1 & @rppola, suivie de discussions sur les #ODD en vue du Sommet 2023 ‡ New York. #Agenda2030",32,7dcfaf05,43d2f2ba,35c703c2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,11,#UNSDCF,#ODD,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,1689022940300328960,,,,,https://twitter.com/OnuGuinee/status/1689022940300328960,true,7dcfaf05,fr
4311,Thu Jun 01 22:32:00 +00:00 2023,It is a script. 17 goals of #Agenda2030.,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,4,6b9280e6,ade5e37b,b7d105f0,aab0543c,109c13fa,df2e596d,2632efd9,5f7e54cb,0336f040,a8a889e8,b0f20f3b,0cb6f617,943c3a04,e438ea6f,d36814bd,dd8107df,240d4af6,d95654ea,4fc8d83b,50edd1a5,2ee0b814,c1b1174c,17bc6ff5,84058a2e,6df37cb8,86f2b96e,a0ac6c9f,504d661b,9eb72aec,75f35eac,f9be1ff8,20f9b046,16ba1365,3450936c,4cb812d2,771d919e,4ad458b3,4eff247a,82bcfcc6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,8,#Agenda2030.,,,,,,,,,,,,,,,,,,,,,,,,1664399512423608323,,,,,https://twitter.com/MarkFriesen08/status/1664399512423608323,true,700e854b,en
4360,Mon Jan 16 23:49:00 +00:00 2023,"??CarbonFootprint.blockchain??""""opensea.io/assets/matic/0xa9Ö #davos #davos2023 #Agenda2030 #WEF2023 #carbon #carbonfootprint #carbonfarming #carbontax #CarbonCredits #CarbonNegative #renewableenergy #domain #domainsforsale #web3 #blockchain #Web3domain #carbonmarkets #CarbonNegative",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#davos,#davos2023,#Agenda2030,#WEF2023,#carbon,#carbonfootprint,#carbonfarming,#carbontax,#CarbonCredits,#CarbonNegative,#renewableenergy,#domain,#domainsforsale,#web3,#blockchain,#Web3domain,#carbonmarkets,#CarbonNegative,,,,,,,1615134134321422338,https://opensea.io/assets/matic/0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f/43328746082235844405826367707111042481512608943726106797914637999022280659705/,,,,https://twitter.com/DigitalID_/status/1615134134321422338,true,d0b57c8d,en
4370,Sun May 28 22:05:00 +00:00 2023,Ooh you #WEFpuppets with your #Agenda2030 really are insidious aren't you? Well bugger off. #VoteNoAustralia,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,52265b6b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#WEFpuppets,#Agenda2030,#VoteNoAustralia,,,,,,,,,,,,,,,,,,,,,,1662943115723014144,,,,,https://twitter.com/Patrici46633494/status/1662943115723014144,true,7c0a4304,en
4389,Tue Aug 08 21:07:00 +00:00 2023,Prepare for the Cyber PLANDEMIC! #Agenda2030,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1689020497646977024,,,,,https://twitter.com/GoatRancher/status/1689020497646977024,true,abff2bd5,en
4395,Fri Jan 20 23:32:00 +00:00 2023,"The ìoutlandish predictionsî @wef ALWAYS seem to make, always come true. Thereís a point where it stops being ìpredictionsî or ìprojectionsî, and it becomes evil pre-planning"" ""#Agenda2030 #WEF23 #WorldEconomicForum #DepopulationAgenda #GlobalWarming #ClimateChange",2,c6608cd4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,#WEF23,#WorldEconomicForum,#DepopulationAgenda,#GlobalWarming,#ClimateChange,,,,,,,,,,,,,,,,,,,1616579376216264704,,,,,https://twitter.com/jprince_cheryl/status/1616579376216264704,true,2579e9a6,en
4401,Tue May 16 22:23:00 +00:00 2023,"@GiorgiaMeloni LA VERGOGNA INFINITA ,DEL VOSTRO ASSERVIMENTO ,COMPLICI E ASSASSINI #Agenda2030",1,b99786b8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1658599100525297670,,,,,https://twitter.com/damianatua/status/1658599100525297670,true,a05f8ecf,it
4434,Sat Jul 15 22:10:00 +00:00 2023,All by design through UN #Agenda2030 and #WEF policies that will destroy our nation and the western world.,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,57,#Agenda2030,#WEF,,,,,,,,,,,,,,,,,,,,,,,1680339047464443908,,,,,https://twitter.com/MarkFriesen08/status/1680339047464443908,true,700e854b,en
4463,Wed Jan 18 23:40:00 +00:00 2023,"#WEF23, ìselect group of individualsî, demands everyone bow down and do as they say. Bullcrap on the HIGHEST level. NOBODY elected them, but all of these parasites say theyíre for Globalization"" ""#WorldEconomicForum #GodComplex #Agenda2030",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,"#WEF23,",#WorldEconomicForum,#GodComplex,#Agenda2030,,,,,,,,,,,,,,,,,,,,,1615856788137709568,,,,,https://twitter.com/jprince_cheryl/status/1615856788137709568,true,2579e9a6,en
4465,Thu May 18 23:07:00 +00:00 2023,"After you watch this, you may never trust much of anything ever, from a pharmaceutical company."" Even the years of evil planning alone is breath takingÖ #Agenda2030 #WEF2030Agenda #WEF #BillGates  ""piped.video/bFLPWWCAHfQ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,#WEF2030Agenda,#WEF,#BillGates,,,,,,,,,,,,,,,,,,,,,1659334969280327680,https://piped.video/bFLPWWCAHfQ,,,,https://twitter.com/GrahamFrench247/status/1659334969280327680,true,bde42c2c,en
4482,Tue Aug 08 20:50:00 +00:00 2023,"People donít realize how huge this is. Release a bioweapon on the world, to steal elections and enforce emergency powers globally. To usher in the #NewWorldOrder #Agenda2030 #GreatReset",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,2dc070fb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#NewWorldOrder,#Agenda2030,#GreatReset,,,,,,,,,,,,,,,,,,,,,,1689016352332238848,,,,,https://twitter.com/tigijennyb/status/1689016352332238848,true,69b40c38,en
4504,Tue Jan 10 23:43:00 +00:00 2023,UN Agenda 2030 is absolutely the foundation for every corrupt sugar coated policy dumped onto the civilized western world. Documents easily located on UN web site. NO ONE has or is discussing it!!! @RebelNewsOnline @TrueNorthCentre @TheCounterSgnl @PierrePoilievre #Agenda2030,0,de771196,afb8e80d,c74a18f7,0fa2d6b5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1612958267659161603,,,,,https://twitter.com/CanuckHavoc/status/1612958267659161603,true,32bb2a0d,en
4535,Wed Jul 05 21:52:00 +00:00 2023,What kind of global domination plans could they be hatching in this meeting? #Agenda2030 #TheGreatReset catholicnewsagency.com/news/Ö,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,#TheGreatReset,,,,,,,,,,,,,,,,,,,,,,,1676710567992786944,https://www.catholicnewsagency.com/news/254737/pope-francis-hosts-bill-clinton-foundation-head-alex-soros,,,,https://twitter.com/GoatRancher/status/1676710567992786944,true,abff2bd5,en
4570,Wed Aug 02 21:49:00 +00:00 2023,"Empowering youth leaders: driving climate action through tailored-made learning"" #Agenda2030 #ClimateAction  ""unssc.org/news-and-insights/Ö",6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,#ClimateAction,,,,,,,,,,,,,,,,,,,,,,,1686856834018078720,https://www.unssc.org/news-and-insights/blog/empowering-youth-leaders-driving-climate-action-through-tailored-made,,,,https://twitter.com/EmmanuelGanse/status/1686856834018078720,true,ee59026f,en
4590,Fri Dec 23 23:57:00 +00:00 2022,#covid #covid_19 #covi?d19 #coronavirus #omicron #agenda2030 #agenda2030??  #quotes #quuote #quoteoftheday #quotesdaily #motivationalquotesoftheday #words #wordsofwisdom #wordstoliveby #vacuna #v?????c????19 #vacunas,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#covid,#covid_19,#covi?d19,#coronavirus,#omicron,#agenda2030,#agenda2030??,#quotes,#quuote,#quoteoftheday,#quotesdaily,#motivationalquotesoftheday,#words,#wordsofwisdom,#wordstoliveby,#vacuna,#v?????c????19,#vacunas,,,,,,,1606438872606560257,,,,,https://twitter.com/SSpiritor/status/1606438872606560257,true,8ab9e4a8,en
