X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement
4265,Sat May 20 21:50:00 +00:00 2023,"JANUARY 31, 2020""DONALD TRUMP CHEMTRAIL GENOCIDE POISONING OF AMERICA & THE WORLD!SEE MY ENTIRE TWITTER PAGE!#ClimateChange #Agenda21 #Agenda2030 #demons #Genocide #YouTube #Facebook #Instagram #Instagram??? #BARIUM #STRONTIUM #Satanic #Polymers ""#GRAPHENE",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,1,#ClimateChange,#Agenda21,#Agenda2030,#demons,#Genocide,#YouTube,#Facebook,#Instagram,#Instagram???,#BARIUM,#STRONTIUM,#Satanic,#Polymers,#GRAPHENE,,,,,,,,,,,1660040210451947520,,,,,https://twitter.com/Barton3Sbarton/status/1660040210451947520,false,2119a636,en,2
4269,Tue Aug 08 21:19:00 +00:00 2023,"It is crucial to align the #SDG #Agenda2030 with the #Agenda2063 for the #AfricanUnion.†"" Watch @GopaulP, @mdjkitulu, Gopalkrishna A Tadas, @NityaMohanK, @AnnaK_Hornidge at the #T20Summit.  #G20India #Think20India† @g20org @orfonline ""piped.video/live/KPonvk67QjYÖ",0,c3bfaba8,a1855d53,80b3d26e,71266bf3,a3731705,9fc552a1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#SDG,#Agenda2030,#Agenda2063,#AfricanUnion.†,#T20Summit.,#G20India,#Think20India†,,,,,,,,,,,,,,,,,,1689023426990907136,https://piped.video/live/KPonvk67QjY?feature=share,,,,https://twitter.com/T20org/status/1689023426990907392,true,b48cebe7,en,0
4270,Sat Aug 26 20:58:00 +00:00 2023,"Video: 15 Minute Cities -->Human Settlements""""Future planning from #UN & #WEF.  """"""""You will own nothing and be happy"""""""" only benefits #elites. """"#cville #UVA #Agenda2030 #housing",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#UN,#WEF.,#elites.,#cville,#UVA,#Agenda2030,#housing,,,,,,,,,,,,,,,,,,1695541279025660416,,,,,https://twitter.com/CvilleBubble/status/1695541279025660344,false,5c884d2b,en,0
4273,Sun Aug 20 22:05:00 +00:00 2023,"What is happening in #Maui, #Hawaii?†Why the #Fires?†Chat with #AthenaSwaruu | Aug 18, 2023""""- The fires are to #destroy and #displace people.†They then rebuild but with their """"""""experimental"""""""" #prison #city requirements.""www-swaruu-org.translate.gooÖ""#Agenda2030 #SmartCities",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,03adec48,bbfe29dc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,1,"#Maui,",#Hawaii?†Why,#Fires?†Chat,#AthenaSwaruu,#destroy,#displace,#prison,#city,#Agenda2030,#SmartCities,,,,,,,,,,,,,,,1693383725994648064,https://www-swaruu-org.translate.goog/en/transcripts/que-esta-pasando-en-maui-hawai-porque-los-fuegos-charla-con-athena-swaruu?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=fi&_x_tr_pto=wapp,,,,https://twitter.com/GraviolaDOTfi/status/1693383725994648028,false,03adec48,en,2
4283,Sun Aug 06 21:41:00 +00:00 2023,"Hes a shill,  doubt that's his real picture or name ??    ignore it patrice #IrelandisFull #MakeIrelandSafeAgain #irelandneverforgets #IrelandBelongsToTheIrish #ireland #WEFpuppets #AGENDA2030 not on our soil ????",4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,80674a6d,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#IrelandisFull,#MakeIrelandSafeAgain,#irelandneverforgets,#IrelandBelongsToTheIrish,#ireland,#WEFpuppets,#AGENDA2030,,,,,,,,,,,,,,,,,,1688304328216305664,,,,,https://twitter.com/DjangoBear1/status/1688304328216305664,false,a7aa9e5f,en,4
4286,Sun Apr 16 22:24:00 +00:00 2023,"#Agenda2030 #Agenda21 #WEF #GREATRESET """"rumble.com/v2imtvc-beyond-thÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Agenda2030,#Agenda21,#WEF,#GREATRESET,,,,,,,,,,,,,,,,,,,,,1.64772779683e+18,https://rumble.com/v2imtvc-beyond-the-reset-animated-agenda-21.html,,,,https://twitter.com/tminewsnet/status/1647727796829995008,true,1d4f8d22,en,1
4287,Thu Apr 20 22:23:00 +00:00 2023,Our governments want men weak and women broken to have complete control. #Agenda2030 #megalomaniacs #Corruption #narcissisticabuse,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Agenda2030,#megalomaniacs,#Corruption,#narcissisticabuse,,,,,,,,,,,,,,,,,,,,,1649176986064146432,,,,,https://twitter.com/sdrury20/status/1649176986064146432,false,e017107d,en,3
4293,Fri Aug 04 21:19:00 +00:00 2023,Both Sides should be condemned when this happens that's what the globalists want to turn us against each other and then install their #AGENDA2030 #WorldGovernment #NewWorldOrder,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,ed8bbff8,22b0299b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#AGENDA2030,#WorldGovernment,#NewWorldOrder,,,,,,,,,,,,,,,,,,,,,,1687574092998733824,,,,,https://twitter.com/constantin_t/status/1687574092998733825,true,96f90954,en,1
4294,Wed May 24 22:52:00 +00:00 2023,"#NewYork To Track Residentsí Food Purchases ""#Agenda2030 ??""thepeoplesvoice.tv/new-york-Ö",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#NewYork,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,1661505437122830336,https://thepeoplesvoice.tv/new-york-to-track-residents-food-purchases-and-ration-meat/,,,,https://twitter.com/stoniaadrian/status/1661505437122830336,false,6f406c1c,en,0
4296,Sat Aug 26 20:58:00 +00:00 2023,#agenda21 #Agenda2030 #Evil #depopulation #transideology #LeaveOurKidsAlone #MauiFires #Canadafires #VaccineInjuries #DiedSuddenly #ClimateScam #STOPimmigration #IllegalImmigrants,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#agenda21,#Agenda2030,#Evil,#depopulation,#transideology,#LeaveOurKidsAlone,#MauiFires,#Canadafires,#VaccineInjuries,#DiedSuddenly,#ClimateScam,#STOPimmigration,#IllegalImmigrants,,,,,,,,,,,,1695541146435416320,,,,,https://twitter.com/StuartWorrall6/status/1695541146435416217,false,c3d38f2c,en,1
4299,Sat Jan 14 23:40:00 +00:00 2023,"Godspeed!""madaraka.online/covid-19-andÖ #WEF#GreatResist""#Agenda2030",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,a1195ffc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#WEF,#GreatResist,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,1614407158543548416,https://madaraka.online/covid-19-and-the-great-reset/,,,,https://twitter.com/wanyeekinuthia/status/1614407158543548419,false,57093e00,en,0
4300,Wed Jan 18 23:55:00 +00:00 2023,"Establishment backed protests, with the aim of giving us a poorer, colder, sicker, meaner shorter life. #NetZero #WEFpuppets #Agenda2030",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,4bd056e1,2f2faf10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#NetZero,#WEFpuppets,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,1615860504785821440,,,,,https://twitter.com/GentClassical/status/1615860504785821696,false,c4e7b7d3,en,2
4303,Mon Jan 30 23:32:00 +00:00 2023,#klausschwab #WEF #worldeconomicforum #greatreset #thegreatreset #nwo #newworldorder #conspiracytheory #conspiracy #eatthebugs #eatzebug #eatthebug #agenda2030 #2030 #agenda21,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,6,#klausschwab,#WEF,#worldeconomicforum,#greatreset,#thegreatreset,#nwo,#newworldorder,#conspiracytheory,#conspiracy,#eatthebugs,#eatzebug,#eatthebug,#agenda2030,#2030,#agenda21,,,,,,,,,,1620203220823047936,,,,,https://twitter.com/eatzebug1/status/1620203220823048192,false,ced60b2c,en,16
